"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"28165 Valdilecha"	3079	2982	2933	2840	2755	2749	2838	2852	2910	2816	2794	2828	2794	2699	2506	2326	2355	2251	2147	2041	1930
"28166 Valverde de Alcalá"	518	498	465	432	427	430	441	439	453	464	437	449	465	425	426	388	374	339	332	315	309
"28167 Velilla de San Antonio"	12543	12380	12236	12193	12111	12222	12382	12334	12246	12037	11793	11668	11553	11242	10860	9406	9332	9062	8760	8188	7447
"28168 Vellón, El"	2083	2004	1958	1942	1834	1846	1803	1814	1824	1764	1760	1702	1680	1492	1387	1304	1285	1252	1215	1184	1190
"28169 Venturada"	2387	2241	2163	2081	2032	2014	1991	1968	1968	1897	1860	1741	1682	1609	1571	1451	1304	1118	1042	986	919
"28171 Villa del Prado"	6837	6661	6520	6409	6337	6295	6414	6506	6502	6495	6456	6462	6368	6182	5807	5788	5450	5079	4784	4350	4106
"28170 Villaconejos"	3464	3422	3388	3363	3350	3350	3405	3447	3495	3484	3530	3482	3389	3159	3092	3070	2979	3018	3039	2972	2946
"28172 Villalbilla"	15049	14392	13878	13421	13038	12719	12351	11916	11643	11010	10465	9819	8923	8492	8003	7761	7546	7037	5854	5138	4595
"28173 Villamanrique de Tajo"	762	707	703	699	694	705	720	738	798	795	802	795	786	764	759	701	711	650	639	633	614
"28174 Villamanta"	2643	2605	2555	2501	2491	2497	2525	2507	2514	2505	2524	2480	2441	2337	2192	2107	2033	1852	1785	1735	1663
"28175 Villamantilla"	1514	1482	1441	1420	1382	1334	1292	1241	1238	1183	1089	952	858	763	652	570	543	493	416	363	337
"28176 Villanueva de la Cañada"	22580	22115	21445	21000	20320	19611	19250	18827	18734	18425	17865	17271	16804	16425	15882	14809	14084	13198	12525	12109	11429
"28178 Villanueva de Perales"	1599	1592	1563	1547	1519	1486	1441	1445	1458	1486	1478	1403	1326	1175	1149	1033	1024	939	939	793	550
"28177 Villanueva del Pardillo"	17310	17396	17180	17127	17025	16950	16797	16730	16690	16509	16091	15609	15087	14763	13985	12879	10721	9013	7828	6415	5296
"28179 Villar del Olmo"	2211	2079	2011	1967	1997	1981	2058	2085	2115	2135	2151	2150	2119	2075	1994	1947	1849	1752	1665	1582	1517
"28180 Villarejo de Salvanés"	7552	7433	7335	7291	7245	7265	7288	7301	7389	7452	7380	7394	7451	7219	6828	6713	6479	6231	6022	5871	5753
"28181 Villaviciosa de Odón"	28030	28148	27835	27596	27504	27276	27075	26911	26982	26708	26646	26725	26475	26248	25709	26076	24963	23173	22094	21461	20832
"28182 Villavieja del Lozoya"	276	262	253	258	267	270	280	275	277	273	288	254	258	260	254	214	193	196	195	183	185
"28183 Zarzalejo"	1786	1734	1658	1620	1596	1565	1546	1583	1553	1517	1513	1511	1488	1469	1404	1412	1348	1265	1192	1133	1061
