"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"03060 Quatretondeta"	117	118	122	121	109	113	111	115	117	109	114	122	129	137	138	145	150	150	160	169	175
"03109 Rafal"	4597	4553	4498	4418	4322	4218	4167	4138	4170	4213	4162	4181	4135	4028	3901	3805	3770	3586	3506	3464	3366
"03110 Ràfol d'Almúnia, el"	670	648	653	644	631	630	635	659	719	749	746	726	697	692	635	588	532	536	498	481	428
"03111 Redován"	8058	7926	7869	7797	7811	7765	7706	7623	7672	7554	7522	7467	7335	7261	6982	6825	6645	6257	5956	5806	5596
"03112 Relleu"	1173	1148	1160	1147	1118	1258	1279	1258	1330	1342	1338	1279	1262	1205	1090	1046	1022	925	856	821	784
"03113 Rojales"	15978	16671	16963	16560	16231	17622	18127	18824	21686	22006	21583	20953	20510	19247	17543	15987	13807	11657	10681	9026	7954
"03114 Romana, la"	2542	2492	2434	2376	2377	2411	2431	2465	2474	2509	2554	2602	2576	2539	2467	2407	2361	2235	2122	2069	2009
"03115 Sagra"	427	426	408	389	393	414	410	408	432	446	454	465	444	434	457	464	456	422	421	416	406
"03116 Salinas"	1642	1620	1601	1585	1562	1569	1597	1583	1586	1603	1559	1549	1596	1588	1522	1498	1466	1402	1388	1322	1264
"03118 San Fulgencio"	8447	8071	7855	7943	7646	7384	9021	9237	12688	12529	12354	12144	12030	11594	10583	9597	8197	6685	5700	4815	4103
"03904 San Isidro"	2146	2103	1986	1933	1920	1915	1874	1891	1901	1921	1934	1874	1806	1708	1561	1401	1368	1332	1338	1330	1294
"03120 San Miguel de Salinas"	6553	6313	6034	5811	5797	6193	6773	6911	7012	7602	7862	8057	8135	8056	7625	7104	6620	5781	5333	4678	4162
"03122 San Vicente del Raspeig/Sant Vicent del Raspeig"	58912	58978	58385	57785	57175	56715	56302	55946	55781	55100	54531	54088	53126	51507	49341	47706	46034	44226	42647	40599	39053
"03117 Sanet y Negrals"	702	690	667	648	634	649	674	670	664	700	717	727	734	740	727	684	664	623	600	592	570
"03119 Sant Joan d'Alacant"	24363	24367	23915	23518	23149	22897	22825	22804	23026	22740	22554	22138	21939	21681	20997	20430	19711	19027	18107	17478	17017
"03121 Santa Pola"	34148	33303	32306	31745	31137	31309	31657	31529	34134	33965	33372	32507	31760	30987	29221	27521	25494	23220	22253	20965	19720
"03123 Sax"	9935	9859	9845	9771	9737	9700	9696	9741	10091	10069	10041	10099	10054	9908	9716	9577	9399	9222	8953	8664	8570
"03124 Sella"	578	577	580	585	579	584	588	584	615	626	636	649	652	646	639	650	633	620	591	586	595
"03125 Senija"	605	583	584	581	578	577	610	622	661	642	661	661	636	645	658	649	619	566	542	537	520
"03127 Tàrbena"	642	623	646	627	640	636	661	686	797	809	809	801	792	772	758	751	736	721	736	725	705
"03128 Teulada"	11466	11278	11112	10722	10097	10654	11460	11824	14452	14578	14722	14778	14620	14236	13281	12745	11983	11060	12299	10858	10010
"03129 Tibi"	1691	1662	1614	1564	1603	1634	1656	1657	1757	1761	1763	1745	1719	1677	1625	1572	1485	1416	1299	1267	1231
"03130 Tollos"	37	35	57	56	50	53	52	59	38	45	49	57	68	65	65	43	35	34	38	42	42
"03131 Tormos"	327	318	340	336	333	323	312	317	386	386	383	380	377	375	339	346	328	305	303	312	308
"03132 Torremanzanas/Torre de les Maçanes, la"	681	636	661	654	682	727	746	743	770	797	802	788	742	758	745	733	727	717	709	695	703
"03133 Torrevieja"	82842	84667	83337	82599	83252	84213	88447	91415	105205	103720	102136	101091	101792	101381	94006	92034	84348	75530	77943	69763	58828
"03134 Vall d'Alcalà, la"	163	160	167	164	168	171	169	175	177	175	187	185	192	186	191	179	167	167	176	170	175
"03136 Vall de Gallinera, la"	557	527	571	589	594	582	609	595	609	676	694	662	664	671	672	623	622	590	595	578	578
"03137 Vall de Laguar, la"	843	827	846	820	825	801	826	872	942	959	961	981	987	997	937	948	932	894	884	885	892
"03135 Vall d'Ebo, la"	204	218	216	224	232	243	249	254	281	286	284	272	282	299	297	309	328	336	323	338	351
"03138 Verger, el"	4841	4709	4640	4520	4421	4515	4627	4688	4856	4992	4899	4858	4865	4847	4688	4538	4490	4221	4071	3897	3758
"03139 Villajoyosa/Vila Joiosa, la"	34684	35199	34673	33969	33607	33580	33878	33951	33834	33293	32733	34344	33797	32534	30550	29263	27983	26792	26433	25073	24246
"03140 Villena"	34025	34155	33964	33983	33968	34163	34361	34530	34834	34894	34966	34968	35222	34928	34523	34186	34185	33889	33455	32892	32111
"03081 Xaló"	2892	2868	2739	2683	2636	2648	2675	2793	3323	3301	3320	3269	3235	3189	3002	2946	2805	2400	2404	2307	2167
