Provincias;Grupo quinquenal de edad;Nacionalidad;Sexo;Periodo;Total
03 Alicante/Alacant;De 15 a 19 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;2832
03 Alicante/Alacant;De 15 a 19 años  ;De Asia;Ambos sexos;1 de julio de 2022;1360
03 Alicante/Alacant;De 15 a 19 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;9
03 Alicante/Alacant;De 15 a 19 años  ;Apátridas;Ambos sexos;1 de julio de 2022;1
03 Alicante/Alacant;De 20 a 24 años;Española;Ambos sexos;1 de julio de 2022;78043
03 Alicante/Alacant;De 20 a 24 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;4099
03 Alicante/Alacant;De 20 a 24 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 20 a 24 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2060
03 Alicante/Alacant;De 20 a 24 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 20 a 24 años;De Africa;Ambos sexos;1 de julio de 2022;4981
03 Alicante/Alacant;De 20 a 24 años;De América del Norte;Ambos sexos;1 de julio de 2022;182
03 Alicante/Alacant;De 20 a 24 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;536
03 Alicante/Alacant;De 20 a 24 años;De Sudamérica;Ambos sexos;1 de julio de 2022;4859
03 Alicante/Alacant;De 20 a 24 años;De Asia;Ambos sexos;1 de julio de 2022;1614
03 Alicante/Alacant;De 20 a 24 años;De Oceanía;Ambos sexos;1 de julio de 2022;21
03 Alicante/Alacant;De 20 a 24 años;Apátridas;Ambos sexos;1 de julio de 2022;3
03 Alicante/Alacant;De 25 a 29 años;Española;Ambos sexos;1 de julio de 2022;73068
03 Alicante/Alacant;De 25 a 29 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;5181
03 Alicante/Alacant;De 25 a 29 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 25 a 29 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3110
