Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Octubre 2014	1.173 €/m2	+ 1,3 %	+ 1,4 %	- 4,9 %
Septiembre 2014	1.158 €/m2	- 0,7 %	- 4,4 %	- 5,0 %
Agosto 2014	1.167 €/m2	+ 0,8 %	- 4,9 %	- 6,0 %
Julio 2014	1.157 €/m2	- 4,4 %	- 1,8 %	- 8,0 %
Junio 2014	1.211 €/m2	- 1,3 %	+ 5,0 %	- 6,2 %
Mayo 2014	1.227 €/m2	+ 4,1 %	+ 5,8 %	- 4,9 %
Abril 2014	1.179 €/m2	+ 2,2 %	- 1,1 %	- 9,7 %
Marzo 2014	1.154 €/m2	- 0,6 %	- 4,6 %	- 12,6 %
Febrero 2014	1.160 €/m2	- 2,7 %	- 4,7 %	- 14,9 %
Enero 2014	1.192 €/m2	- 1,4 %	- 3,4 %	- 13,7 %
Diciembre 2013	1.209 €/m2	- 0,7 %	- 0,8 %	- 11,4 %
Noviembre 2013	1.217 €/m2	- 1,3 %	- 1,9 %	- 8,6 %
Octubre 2013	1.234 €/m2	+ 1,2 %	- 1,9 %	- 6,4 %
Septiembre 2013	1.219 €/m2	- 1,8 %	- 5,6 %	- 11,0 %
Agosto 2013	1.241 €/m2	- 1,3 %	- 3,8 %	- 11,4 %
Julio 2013	1.258 €/m2	- 2,6 %	- 3,7 %	- 11,9 %
Junio 2013	1.292 €/m2	+ 0,1 %	- 2,2 %	- 10,0 %
Mayo 2013	1.291 €/m2	- 1,2 %	- 5,3 %	- 8,6 %
Abril 2013	1.306 €/m2	- 1,1 %	- 5,5 %	- 9,6 %
Marzo 2013	1.320 €/m2	- 3,2 %	- 3,3 %	- 10,6 %
Febrero 2013	1.363 €/m2	- 1,3 %	+ 2,3 %	- 7,2 %
Enero 2013	1.382 €/m2	+ 1,2 %	+ 4,9 %	- 5,8 %
Diciembre 2012	1.365 €/m2	+ 2,5 %	- 0,3 %	- 7,7 %
Noviembre 2012	1.332 €/m2	+ 1,1 %	- 4,9 %	- 11,2 %
Octubre 2012	1.317 €/m2	- 3,8 %	- 7,8 %	- 12,8 %
Septiembre 2012	1.370 €/m2	- 2,3 %	- 4,5 %	- 9,2 %
Agosto 2012	1.401 €/m2	- 1,9 %	- 0,8 %	- 7,6 %
Julio 2012	1.428 €/m2	- 0,4 %	- 1,1 %	- 3,8 %
Junio 2012	1.434 €/m2	+ 1,6 %	- 2,8 %	- 5,5 %
Mayo 2012	1.412 €/m2	- 2,2 %	- 3,9 %	- 6,8 %
Abril 2012	1.444 €/m2	- 2,1 %	- 1,6 %	- 4,5 %
Marzo 2012	1.476 €/m2	+ 0,4 %	- 0,2 %	- 2,5 %
Febrero 2012	1.470 €/m2	+ 0,2 %	- 2,0 %	- 0,6 %
Enero 2012	1.467 €/m2	- 0,8 %	- 2,8 %	- 2,8 %
Diciembre 2011	1.479 €/m2	- 1,4 %	- 1,9 %	- 2,6 %
