Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Julio 2011	1.418 €/m2	- 1,6 %	- 3,2 %	- 9,6 %
Junio 2011	1.441 €/m2	- 1,9 %	- 2,7 %	- 2,7 %
Mayo 2011	1.469 €/m2	+ 0,3 %	- 0,4 %	+ 0,1 %
Abril 2011	1.465 €/m2	- 1,1 %	- 2,2 %	- 0,3 %
Marzo 2011	1.481 €/m2	+ 0,4 %	- 1,3 %	- 1,3 %
Febrero 2011	1.475 €/m2	- 1,5 %	- 1,8 %	- 6,5 %
Enero 2011	1.498 €/m2	- 0,1 %	- 1,6 %	- 4,8 %
Diciembre 2010	1.500 €/m2	- 0,2 %	- 3,6 %	- 4,3 %
Noviembre 2010	1.502 €/m2	- 1,3 %	- 4,2 %	+ 2,1 %
Octubre 2010	1.522 €/m2	- 2,2 %	- 2,9 %	- 0,8 %
Septiembre 2010	1.555 €/m2	- 0,8 %	+ 5,0 %	+ 1,2 %
Agosto 2010	1.568 €/m2	0,0 %	+ 6,9 %	+ 4,9 %
Julio 2010	1.568 €/m2	+ 5,8 %	+ 6,7 %	+ 4,1 %
Junio 2010	1.481 €/m2	+ 0,9 %	- 1,3 %	- 3,2 %
Mayo 2010	1.467 €/m2	- 0,2 %	- 7,0 %	- 6,3 %
Abril 2010	1.470 €/m2	- 2,1 %	- 6,6 %	- 7,1 %
Marzo 2010	1.501 €/m2	- 4,9 %	- 4,2 %	- 3,8 %
Febrero 2010	1.578 €/m2	+ 0,3 %	+ 7,3 %	- 1,1 %
Enero 2010	1.574 €/m2	+ 0,4 %	+ 2,6 %	+ 7,2 %
Diciembre 2009	1.568 €/m2	+ 6,6 %	+ 2,0 %	+ 3,6 %
Noviembre 2009	1.471 €/m2	- 4,1 %	- 1,6 %	- 1,9 %
Octubre 2009	1.533 €/m2	- 0,2 %	+ 1,8 %	- 7,2 %
Septiembre 2009	1.536 €/m2	+ 2,8 %	+ 0,4 %	- 7,8 %
Agosto 2009	1.495 €/m2	- 0,8 %	- 4,5 %	- 5,0 %
Julio 2009	1.507 €/m2	- 1,6 %	- 4,7 %	+ 4,6 %
