"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"41054 Lora de Estepa"	875	873	862	860	852	848	856	876	870	871	873	873	857	853	829	831	828	803	788	791	781
"41055 Lora del Río"	18578	18630	18662	18861	18934	19124	19328	19393	19403	19421	19407	19393	19352	19327	19194	19077	18861	18739	18663	18622	18720
"41056 Luisiana, La"	4587	4578	4576	4572	4569	4604	4674	4672	4694	4652	4622	4614	4608	4583	4568	4523	4495	4413	4386	4360	4360
"41057 Madroño, El"	300	287	278	282	284	296	305	304	314	324	334	350	348	347	353	361	367	366	369	379	382
"41058 Mairena del Alcor"	23893	23698	23550	23473	23222	23047	22749	22447	22328	22024	21560	21100	20510	19924	19363	18710	18075	17623	17315	16947	16788
"41059 Mairena del Aljarafe"	46895	46555	46089	45890	45471	45040	44388	43723	43305	42784	42186	41510	40700	39831	39389	39065	38770	37941	37464	36232	35429
"41060 Marchena"	19317	19329	19457	19580	19691	19773	19878	19940	19959	19984	19891	19861	19768	19497	19310	19089	18719	18550	18434	18289	18180
"41061 Marinaleda"	2618	2592	2627	2626	2665	2711	2734	2748	2771	2786	2778	2759	2724	2708	2670	2689	2655	2676	2645	2647	2638
"41062 Martín de la Jara"	2663	2665	2704	2720	2740	2733	2756	2796	2816	2812	2791	2782	2790	2758	2753	2737	2748	2760	2726	2721	2706
"41063 Molares, Los"	3563	3518	3480	3460	3455	3470	3467	3508	3522	3459	3400	3310	3186	3042	2991	2947	2874	2800	2759	2699	2652
"41064 Montellano"	7014	7053	7056	7081	7073	7050	7088	7092	7154	7162	7179	7146	7127	7085	7037	6983	6913	6854	6877	6871	6833
"41065 Morón de la Frontera"	27582	27633	27627	27844	27930	28073	28223	28241	28334	28390	28489	28467	28455	28259	28165	28295	28117	27942	27944	27786	27838
"41066 Navas de la Concepción, Las"	1538	1542	1559	1581	1601	1629	1639	1684	1704	1721	1709	1743	1749	1778	1788	1794	1831	1848	1863	1886	1886
"41067 Olivares"	9452	9466	9394	9390	9422	9415	9522	9564	9568	9587	9560	9534	9420	9182	9012	8814	8729	8573	8370	8144	7894
"41068 Osuna"	17594	17621	17560	17622	17735	17738	17801	17818	17820	17973	17973	17926	17851	17813	17698	17594	17431	17345	17285	17238	17221
"41069 Palacios y Villafranca, Los"	38678	38548	38354	38246	38246	38173	38157	38095	37936	37741	37500	37279	36824	36350	35775	35225	34648	34105	33711	33461	33095
"41904 Palmar de Troya, El"	2340	2343	2340	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"41070 Palomares del Río"	9020	8843	8767	8552	8418	8315	8211	8022	7839	7709	7519	7185	6811	6411	5738	5115	4728	4444	4086	3902	3881
"41071 Paradas"	6850	6857	6908	6924	6923	6991	7024	7063	7094	7085	7065	7068	7065	7036	6990	7027	7048	7078	7067	7034	7042
"41072 Pedrera"	5147	5158	5194	5205	5308	5295	5328	5364	5352	5374	5351	5339	5326	5240	5161	5136	5143	5027	5001	5005	5008
"41073 Pedroso, El"	2038	2009	2018	2037	2055	2074	2124	2163	2194	2194	2206	2218	2267	2272	2259	2296	2291	2300	2308	2348	2379
"41074 Peñaflor"	3648	3639	3656	3669	3680	3697	3721	3755	3738	3788	3798	3814	3812	3764	3740	3719	3674	3698	3703	3776	3827
"41075 Pilas"	13856	13952	13974	13949	13988	13999	13987	14014	14058	13837	13690	13509	13386	12988	12478	12171	11918	11730	11654	11443	11421
"41076 Pruna"	2604	2605	2603	2658	2671	2664	2696	2740	2788	2836	2853	2892	2913	2955	2950	3006	3060	3057	3067	3145	3219
"41077 Puebla de Cazalla, La"	10896	10932	10979	11033	11081	11190	11241	11352	11448	11556	11530	11434	11325	11237	11013	10952	10729	10664	10600	10589	10649
"41078 Puebla de los Infantes, La"	2999	2980	2991	3013	3051	3071	3100	3115	3134	3159	3199	3221	3262	3299	3281	3292	3263	3291	3271	3361	3402
"41079 Puebla del Río, La"	11873	11920	11868	11879	11914	11995	12114	12190	12207	12249	12236	12210	12143	11951	11851	11570	11326	11032	10832	10690	10654
"41080 Real de la Jara, El"	1513	1494	1503	1507	1530	1575	1581	1615	1617	1626	1606	1607	1626	1639	1623	1637	1614	1599	1623	1655	1698
"41081 Rinconada, La"	39204	39062	38628	38406	38339	38277	38180	38021	37755	37508	37239	36641	35928	35097	34211	33370	32525	31683	30761	29759	29223
"41082 Roda de Andalucía, La"	4223	4175	4183	4243	4277	4278	4282	4297	4351	4381	4400	4451	4421	4419	4397	4382	4322	4260	4214	4245	4206
"41083 Ronquillo, El"	1431	1377	1364	1360	1354	1397	1398	1427	1429	1430	1420	1432	1424	1425	1395	1392	1381	1370	1360	1349	1394
"41084 Rubio, El"	3376	3369	3408	3445	3457	3497	3524	3520	3580	3573	3565	3549	3587	3569	3548	3566	3584	3586	3622	3654	3700
"41085 Salteras"	5646	5564	5530	5477	5499	5498	5492	5468	5449	5368	5298	5177	5009	4897	4692	4391	4142	3708	3611	3391	3227
"41086 San Juan de Aznalfarache"	22088	21774	21416	21195	21458	21556	21390	21576	21801	21663	21439	21025	20779	20249	19943	20121	20170	20001	20001	20073	20049
"41088 San Nicolás del Puerto"	608	596	596	599	593	590	599	621	621	634	626	644	662	681	674	682	693	691	689	696	710
"41087 Sanlúcar la Mayor"	14026	13943	13808	13683	13583	13539	13451	13466	13498	13275	13137	13016	12749	12485	12221	11945	11762	11516	11328	11199	11052
"41089 Santiponce"	8491	8538	8554	8442	8445	8442	8453	8439	8382	8397	8366	8238	8135	7948	7794	7742	7558	7428	7278	7164	7070
"41090 Saucejo, El"	4247	4235	4284	4301	4310	4350	4399	4407	4462	4484	4448	4459	4485	4457	4428	4379	4334	4298	4268	4245	4259
"41091 Sevilla"	684234	691395	688592	688711	689434	690566	693878	696676	700169	702355	703021	704198	703206	699759	699145	704414	704154	704203	709975	704114	702520
"41092 Tocina"	9508	9486	9501	9578	9656	9689	9728	9685	9640	9593	9592	9524	9452	9316	9271	9166	9114	9005	8932	8896	8884
"41093 Tomares"	25370	25455	25359	25220	25042	24851	24743	24501	24346	23921	23661	23310	22772	21921	21099	20705	20127	19238	18992	18551	18196
"41094 Umbrete"	9086	9000	8894	8768	8695	8663	8606	8608	8512	8390	8181	8010	7698	7365	6779	6385	5797	5372	5206	5081	4982
"41095 Utrera"	51145	50962	50728	52617	52701	52674	52558	52437	52013	51887	51630	51177	50665	50098	49135	48222	47429	46774	46086	45947	45862
"41096 Valencina de la Concepción"	7894	7776	7751	7803	7860	7949	7948	7930	7986	8055	8026	8031	7971	7875	7796	7650	7431	7269	7220	6987	6839
"41097 Villamanrique de la Condesa"	4531	4477	4459	4478	4454	4462	4503	4406	4359	4266	4167	4162	4129	4097	4000	3936	3826	3762	3757	3759	3787
"41100 Villanueva de San Juan"	1076	1090	1120	1155	1181	1202	1232	1257	1300	1323	1340	1370	1378	1418	1409	1420	1440	1447	1438	1476	1493
"41098 Villanueva del Ariscal"	6673	6591	6610	6571	6573	6490	6395	6324	6244	6159	6124	6078	6045	5946	5769	5724	5511	5340	5206	4939	4864
"41099 Villanueva del Río y Minas"	4892	4847	4858	4860	4866	4906	4944	5035	5096	5203	5249	5260	5283	5286	5229	5217	5237	5236	5264	5302	5364
"41101 Villaverde del Río"	7811	7842	7818	7797	7824	7840	7823	7777	7697	7614	7544	7447	7337	7178	6912	6780	6685	6631	6555	6515	6532
"41102 Viso del Alcor, El"	19251	19324	19266	19191	19234	19168	19149	19119	19099	18990	18828	18641	18351	18059	17714	17497	17194	16805	16597	16355	16276
