"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"15077 Santa Comba"	9359	9362	9426	9450	9477	9556	9635	9719	9913	10101	10241	10408	10487	10577	10588	10647	10683	10704	10823	10892	10920
"15078 Santiago de Compostela"	97858	97848	97260	96405	96456	95966	95612	95800	96041	95671	95207	94824	95092	94339	93712	93458	92919	92298	92339	93273	93381
"15079 Santiso"	1529	1544	1584	1610	1630	1672	1709	1742	1785	1838	1883	1930	1980	2035	2102	2116	2160	2212	2249	2286	2262
"15080 Sobrado"	1778	1730	1758	1799	1847	1882	1911	1965	2016	2037	2087	2139	2168	2208	2244	2289	2316	2360	2400	2434	2468
"15081 Somozas, As"	1076	1083	1098	1103	1128	1160	1191	1211	1249	1279	1306	1342	1382	1388	1374	1392	1411	1403	1407	1403	1449
"15082 Teo"	18778	18632	18579	18525	18478	18510	18505	18254	17942	18454	18266	17940	17807	17625	17441	17168	16809	16428	16028	15331	14894
"15083 Toques"	1101	1107	1124	1151	1173	1196	1213	1248	1265	1302	1343	1387	1405	1416	1447	1485	1512	1530	1550	1573	1628
"15084 Tordoia"	3228	3259	3299	3361	3433	3522	3591	3706	3817	3924	4168	4268	4339	4399	4467	4548	4617	4713	4841	4945	5029
"15085 Touro"	3495	3516	3574	3620	3693	3703	3778	3853	3919	3979	4082	4151	4230	4266	4353	4448	4532	4634	4699	4765	4825
"15086 Trazo"	3059	3013	3113	3148	3186	3190	3263	3301	3343	3433	3472	3496	3498	3509	3548	3557	3617	3652	3728	3766	3800
"15088 Val do Dubra"	3816	3851	3876	3925	3931	3974	4033	4120	4136	4234	4313	4386	4423	4481	4515	4580	4605	4642	4720	4802	4874
"15087 Valdoviño"	6872	6542	6563	6613	6594	6650	6753	6796	6811	6857	6926	6982	6978	6986	6978	6896	6888	6854	6877	6837	6795
"15089 Vedra"	5032	5007	5036	5046	5051	5012	5059	5073	5008	5043	5046	5052	5059	5063	5088	5052	5054	5057	5037	5054	5111
"15091 Vilarmaior"	1219	1209	1226	1231	1249	1260	1233	1236	1247	1261	1273	1277	1294	1289	1287	1326	1343	1362	1350	1388	1398
"15090 Vilasantar"	1219	1211	1213	1225	1241	1275	1280	1316	1362	1368	1380	1406	1415	1432	1469	1496	1538	1574	1610	1622	1639
"15092 Vimianzo"	6925	6963	7057	7138	7270	7378	7520	7710	7849	7977	8039	8128	8204	8300	8364	8402	8466	8517	8653	8686	8787
"15093 Zas"	4384	4393	4472	4581	4671	4756	4846	4902	4983	5109	5219	5295	5385	5459	5549	5674	5780	5867	5978	6082	6160
