Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Diciembre 2011	2.265 €/m2	- 2,2 %	- 2,9 %	- 5,6 %
Noviembre 2011	2.315 €/m2	- 0,6 %	- 1,6 %	- 3,7 %
Octubre 2011	2.329 €/m2	- 0,1 %	- 2,2 %	- 2,6 %
Septiembre 2011	2.332 €/m2	- 0,9 %	- 3,9 %	- 2,0 %
Agosto 2011	2.353 €/m2	- 1,2 %	- 4,1 %	+ 3,0 %
Julio 2011	2.381 €/m2	- 1,9 %	- 4,2 %	+ 2,9 %
Junio 2011	2.427 €/m2	- 1,1 %	- 2,0 %	+ 4,5 %
Mayo 2011	2.454 €/m2	- 1,2 %	+ 1,0 %	+ 5,5 %
Abril 2011	2.485 €/m2	+ 0,4 %	+ 3,2 %	+ 7,8 %
Marzo 2011	2.475 €/m2	+ 1,8 %	+ 3,1 %	+ 5,4 %
Febrero 2011	2.431 €/m2	+ 0,9 %	+ 1,1 %	+ 3,6 %
Enero 2011	2.408 €/m2	+ 0,3 %	+ 0,7 %	+ 0,3 %
Diciembre 2010	2.400 €/m2	- 0,2 %	+ 0,9 %	+ 2,4 %
Noviembre 2010	2.405 €/m2	+ 0,6 %	+ 5,2 %	+ 2,5 %
Octubre 2010	2.391 €/m2	+ 0,5 %	+ 3,4 %	+ 1,8 %
Septiembre 2010	2.379 €/m2	+ 4,1 %	+ 2,5 %	+ 1,1 %
Agosto 2010	2.285 €/m2	- 1,2 %	- 1,7 %	- 2,9 %
Julio 2010	2.313 €/m2	- 0,4 %	+ 0,4 %	- 1,5 %
Junio 2010	2.322 €/m2	- 0,2 %	- 1,2 %	- 2,5 %
Mayo 2010	2.326 €/m2	+ 0,9 %	- 0,9 %	- 3,8 %
Abril 2010	2.304 €/m2	- 1,9 %	- 4,0 %	- 5,4 %
Marzo 2010	2.349 €/m2	+ 0,1 %	+ 0,2 %	- 4,5 %
Febrero 2010	2.347 €/m2	- 2,2 %	0,0 %	- 3,2 %
Enero 2010	2.400 €/m2	+ 2,4 %	+ 2,2 %	- 2,3 %
Diciembre 2009	2.344 €/m2	- 0,1 %	- 0,4 %	- 4,7 %
Noviembre 2009	2.346 €/m2	- 0,1 %	- 0,3 %	- 6,7 %
Octubre 2009	2.349 €/m2	- 0,2 %	0,0 %	- 7,6 %
Septiembre 2009	2.354 €/m2	+ 0,1 %	- 1,2 %	- 7,0 %
Agosto 2009	2.352 €/m2	+ 0,2 %	- 2,7 %	- 7,2 %
Julio 2009	2.348 €/m2	- 1,4 %	- 3,6 %	- 9,0 %
Junio 2009	2.382 €/m2	- 1,5 %	- 3,1 %	- 8,0 %
Mayo 2009	2.418 €/m2	- 0,7 %	- 0,3 %	- 7,4 %
Abril 2009	2.436 €/m2	- 1,0 %	- 0,9 %	- 5,8 %
Marzo 2009	2.459 €/m2	+ 1,4 %	0,0 %	- 5,7 %
Febrero 2009	2.425 €/m2	- 1,3 %	- 3,6 %	- 5,2 %
Enero 2009	2.457 €/m2	- 0,1 %	- 3,4 %	- 5,3 %
Diciembre 2008	2.459 €/m2	- 2,2 %	- 2,9 %	- 5,7 %
Noviembre 2008	2.515 €/m2	- 1,1 %	- 0,8 %	- 2,5 %
Octubre 2008	2.544 €/m2	+ 0,5 %	- 1,5 %	- 2,8 %
Septiembre 2008	2.532 €/m2	- 0,2 %	- 2,2 %	- 3,7 %
Agosto 2008	2.536 €/m2	- 1,8 %	- 2,9 %	+ 3,1 %
Julio 2008	2.582 €/m2	- 0,3 %	- 0,1 %	+ 5,0 %
